time,open,high,low,close,tick_volume,spread,real_volume
2022-08-16 06:00:00,1.01686,1.01696,1.01607,1.01619,1802,5,0
2022-08-16 07:00:00,1.01619,1.01634,1.01576,1.01588,1471,5,0
2022-08-16 08:00:00,1.01588,1.0165,1.0155,1.01639,2102,5,0
2022-08-16 09:00:00,1.01639,1.01687,1.01514,1.01541,6213,3,0
2022-08-16 10:00:00,1.01541,1.01626,1.01339,1.01599,12049,5,0
2022-08-16 11:00:00,1.01598,1.01604,1.0135,1.01387,9830,5,0
2022-08-16 12:00:00,1.01386,1.0142,1.01247,1.01335,11132,5,0
2022-08-16 13:00:00,1.01335,1.01423,1.01257,1.01334,7046,5,0
2022-08-16 14:00:00,1.01333,1.0136,1.01223,1.01279,8095,5,0
2022-08-16 15:00:00,1.01277,1.01464,1.01247,1.01435,10808,5,0
2022-08-16 16:00:00,1.01435,1.01781,1.01429,1.0176,12632,5,0
2022-08-16 17:00:00,1.0176,1.01947,1.0165,1.01787,14534,5,0
2022-08-16 18:00:00,1.01787,1.01837,1.01709,1.0173,6346,5,0
2022-08-16 19:00:00,1.0173,1.01735,1.01628,1.01655,3570,5,0
2022-08-16 20:00:00,1.01656,1.01786,1.01655,1.01758,2435,5,0
2022-08-16 21:00:00,1.01758,1.01805,1.01625,1.01681,3554,5,0
2022-08-16 22:00:00,1.01681,1.0171,1.01618,1.01701,3436,5,0
2022-08-16 23:00:00,1.01701,1.01726,1.01673,1.01697,1112,5,0
2022-08-17 00:00:00,1.01697,1.01697,1.01639,1.01657,332,31,0
2022-08-17 01:00:00,1.01655,1.01719,1.01651,1.01704,839,5,0
2022-08-17 02:00:00,1.01704,1.01745,1.01693,1.01693,1134,5,0
2022-08-17 03:00:00,1.01694,1.01736,1.0166,1.01704,3102,5,0
2022-08-17 04:00:00,1.01704,1.01762,1.01665,1.01714,3229,5,0
2022-08-17 05:00:00,1.01714,1.01793,1.01686,1.01735,3210,5,0
2022-08-17 06:00:00,1.01735,1.01765,1.01682,1.01732,2351,5,0
2022-08-17 07:00:00,1.01732,1.01836,1.01689,1.01813,1751,5,0
2022-08-17 08:00:00,1.01813,1.01851,1.01762,1.01819,1869,5,0
2022-08-17 09:00:00,1.01819,1.01863,1.01565,1.0163,8027,5,0
2022-08-17 10:00:00,1.01631,1.01675,1.01491,1.01663,11405,4,0
2022-08-17 11:00:00,1.01663,1.01839,1.01514,1.01738,10003,5,0
2022-08-17 12:00:00,1.01737,1.01838,1.01684,1.01812,6428,5,0
2022-08-17 13:00:00,1.01811,1.0182,1.01654,1.01745,6475,5,0
2022-08-17 14:00:00,1.01744,1.01745,1.0154,1.01674,7845,5,0
2022-08-17 15:00:00,1.01673,1.01707,1.01452,1.01582,13745,5,0
2022-08-17 16:00:00,1.01582,1.01737,1.01527,1.01667,13571,5,0
2022-08-17 17:00:00,1.01666,1.01985,1.01611,1.01618,14349,5,0
2022-08-17 18:00:00,1.01618,1.01732,1.01609,1.01612,7337,5,0
2022-08-17 19:00:00,1.01611,1.01708,1.01604,1.01648,4204,5,0
2022-08-17 20:00:00,1.01649,1.01703,1.01627,1.01685,3974,5,0
2022-08-17 21:00:00,1.01686,1.02028,1.01678,1.01844,23099,5,0
2022-08-17 22:00:00,1.01844,1.01908,1.01787,1.01801,4739,5,0
2022-08-17 23:00:00,1.01801,1.01805,1.01752,1.01791,1069,5,0
2022-08-18 00:00:00,1.01791,1.01791,1.01739,1.01748,270,31,0
2022-08-18 01:00:00,1.01749,1.01797,1.01738,1.01779,904,5,0
2022-08-18 02:00:00,1.01778,1.01781,1.01725,1.01773,1150,5,0
2022-08-18 03:00:00,1.01774,1.01929,1.01741,1.01878,3850,4,0
2022-08-18 04:00:00,1.01878,1.01912,1.01834,1.01866,4386,5,0
2022-08-18 05:00:00,1.01866,1.01893,1.01798,1.018,2328,5,0
2022-08-18 06:00:00,1.01799,1.01807,1.0167,1.01705,2200,5,0
2022-08-18 07:00:00,1.01705,1.01716,1.01629,1.01668,2169,5,0
2022-08-18 08:00:00,1.01667,1.01783,1.0163,1.01643,3197,5,0
2022-08-18 09:00:00,1.01643,1.01671,1.01489,1.01509,8435,5,0
2022-08-18 10:00:00,1.01509,1.01646,1.01458,1.0161,11751,5,0
2022-08-18 11:00:00,1.0161,1.01767,1.01603,1.01668,10066,4,0
2022-08-18 12:00:00,1.01668,1.01737,1.01577,1.017,8246,5,0
2022-08-18 13:00:00,1.01699,1.01817,1.01645,1.01735,8480,5,0
2022-08-18 14:00:00,1.01735,1.0188,1.01714,1.01771,8576,4,0
2022-08-18 15:00:00,1.01771,1.01866,1.01584,1.01698,16237,5,0
2022-08-18 16:00:00,1.01699,1.0172,1.01209,1.01237,17779,5,0
2022-08-18 17:00:00,1.01236,1.01316,1.01115,1.01285,14364,5,0
2022-08-18 18:00:00,1.01285,1.01394,1.0112,1.01123,7226,5,0
2022-08-18 19:00:00,1.01123,1.01151,1.00888,1.00901,6506,4,0
2022-08-18 20:00:00,1.009,1.00932,1.00794,1.00812,8816,5,0
2022-08-18 21:00:00,1.00811,1.00932,1.00807,1.00904,3976,5,0
2022-08-18 22:00:00,1.00904,1.00991,1.009,1.00939,2495,5,0
2022-08-18 23:00:00,1.00938,1.00943,1.00814,1.00816,1429,5,0
2022-08-19 00:00:00,1.00805,1.00874,1.00803,1.00858,574,24,0
2022-08-19 01:00:00,1.00858,1.009,1.00847,1.00864,1381,5,0
2022-08-19 02:00:00,1.00865,1.00919,1.00857,1.00889,980,5,0
2022-08-19 03:00:00,1.00889,1.0091,1.00736,1.00791,4087,5,0
2022-08-19 04:00:00,1.00791,1.00833,1.00695,1.00747,4188,5,0
2022-08-19 05:00:00,1.00747,1.00861,1.0074,1.00857,2797,5,0
2022-08-19 06:00:00,1.00857,1.00867,1.00785,1.00799,1592,5,0
2022-08-19 07:00:00,1.00799,1.00802,1.00718,1.00758,1806,5,0
2022-08-19 08:00:00,1.00758,1.00833,1.00738,1.00829,2830,5,0
2022-08-19 09:00:00,1.00829,1.00897,1.0074,1.00804,7983,5,0
